STATION,STATION_NAME,DATE,TAVG
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970319,11.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970320,10.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970321,8.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970322,9.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970323,11.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970324,10.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970325,10.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970326,10.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970327,12.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970328,11.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970329,8.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970330,8.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970331,11.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970401,12.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970402,13.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970403,13.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970404,11.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970405,11.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970406,13.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970407,14.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970408,14.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970409,13.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970410,13.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970411,15.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970412,14.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970413,11.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970414,13.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970415,14.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970416,14.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970417,12.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970418,12.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970419,11.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970420,12.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970421,9.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970422,10.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970423,10.6
